Name,Date,Space Complexity,Tags,Time Complexity,Topic 1
347. Top K Frequent Elements,"October 1, 2025",O(n),,O(nlogn),"Hashmaps (https://www.notion.so/Hashmaps-24cfa7ea1c9780ff9acdce67a3e02651?pvs=21), Heaps (https://www.notion.so/Heaps-24dfa7ea1c9780f6927adb0e7f9469b7?pvs=21)"
31. Next Permutation,"November 12, 2025",O(1),Revision needed,O(n),Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)
53. Maximum Subarray,"October 10, 2025",O(1),,O(n),Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)
75. Sort Colors,"November 14, 2025",O(1),,O(n),Hashmaps (https://www.notion.so/Hashmaps-24cfa7ea1c9780ff9acdce67a3e02651?pvs=21)
2149. Rearrange Array Elements by Sign,"October 21, 2025",,,,Array (https://www.notion.so/Array-24efa7ea1c9780b9b756fa92e608e324?pvs=21)
219. Contains Duplicate II,"October 25, 2025",O(k),,O(n),"Hashmaps (https://www.notion.so/Hashmaps-24cfa7ea1c9780ff9acdce67a3e02651?pvs=21), Sliding window (https://www.notion.so/Sliding-window-24efa7ea1c978067aeeed8e0f0fa4f99?pvs=21)"
567. Permutation in String,"October 30, 2025",,,,"Hashmaps (https://www.notion.so/Hashmaps-24cfa7ea1c9780ff9acdce67a3e02651?pvs=21), Sliding window (https://www.notion.so/Sliding-window-24efa7ea1c978067aeeed8e0f0fa4f99?pvs=21)"
239. Sliding Window Maximum,"November 2, 2025",O(k),Revision needed,O(n),Sliding window (https://www.notion.so/Sliding-window-24efa7ea1c978067aeeed8e0f0fa4f99?pvs=21)
76. Minimum Window Substring,"November 4, 2025",O(1),,O(n),"Sliding window (https://www.notion.so/Sliding-window-24efa7ea1c978067aeeed8e0f0fa4f99?pvs=21), Hashmaps (https://www.notion.so/Hashmaps-24cfa7ea1c9780ff9acdce67a3e02651?pvs=21)"
167. Two Sum II - Input Array Is Sorted,"November 4, 2025",O(1),,O(n),Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)
42. Trapping Rain Water,"November 12, 2025",O(n),,O(n),Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)
26. Remove Duplicates from Sorted Array,"November 12, 2025",O(1),,O(n),Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)
